Reference	Value	Mouser PartNo	
C1-C3, C5, C6, C8, C10, C11	10u16V	963-EMK212ABJ106MG-T	8
C4, C7, C9, C13-C15, C17, C18, C20, C23-C25, C28	100n	963-EMF212B7104KGHT	13
C12	15000u16V	871-B41231A4159M000	1
C16	100u6.3V	581-TLCR107M006RTA	1
C19	270p	77-VJ0805A271KXJPBC	1
C21	1n50V	77-VJ0805A102KXAAC	1
C22	1u10V	77-VJ805Y105KXARW1BC	1
C26	100p	77-VJ0805Y101KXACBC	1
C27	2200u16V	871-B41888C4228M000	1
D1, D12	PMEG4010BEA	771-PMEG4010BEA,135	2
D2-D5, D7-D10	BAT54S	757-TBAT54SLM	8
D6	SMAJ13CA	652-SMAJ13CA1	1
D13	9.1	621-UDZ9V1BQ-131	1
F1	FSMD020	576-1812L020PR1	1
F2	T1.25A	576-3921125000	1
J1	Screw_Terminal_01x05	na	1
J2	Screw_Terminal_01x05	490-TB005-762-10BE	1
J3	Conn_01x04	710-61304011121	1
J4	Conn_01x04	na	1
J5	Conn_02x04	710-61200821621	1
J6	Screw_Terminal_01x09	na	1
J7	Screw_Terminal_01x09	490-TB004-508-18BE	1
L1	3.3u	810-MLF1608A3R3J	1
Q1	BSS138	512-BSS138	1
R1	31.6k	594-MCT06030C3162FP5	1
R2, R7, R15, R21, R26, R27	10k	594-MCT06030C1002FP5	6
R3-R6, R8-R10, R28-R30	100	490-TB005-762-10BE	10
R12, R24	5.6k	594-MCT06030C5601FP5	2
R13	62k	594-MCT06030C6202FP5	1
R14	100k	594-MCT06030C1003FP5	1
R16, R18-R20	15k	594-MCT06030C1502FP5	4
R22, R23	1k 1%	594-MCT06030C1001FP5	2
R25	12k	594-MCT06030C1202FP5	1
R31-R33	22	594-MCT06030C2209FP5	3
R11, R17, R35, R39, R40	2k	594-MCT06030C2001FP5	5
R34, R37, R38, R41	1k	594-MCT06030C1001FP5	4
RV1-RV3	Varistor	871-B72214S0271K551	3
U1-U3	AQH3223	769-AQH1213AX	3
U4	IRM-10-12	709-IRM10-12	1
U5	TC7660SEOA	579-TC7660SEOA	1
U6	AP5100	621-AP5100WG-7	1
U7	SN65HVD72C	595-SN65HVD72D	1
U8	FAN3214TMX	512-FAN3214TMX	1
U9	ESP32-WROOM-32	356-ESP32WRM32E128PH	1
U10	ATmega4808-X	556-ATMEGA4808-XF	1
U11	LM7332	926-LM7332MA/NOPB	1
U12, U13	CPC1114N	849-CPC1114N	2
U14	LM321LV	595-LM321LVIDBVR	1
